nc = 37;
np = 2;
nv = 30;
tt = [
[36, 36, 36, 36, 36, 36, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 46, 46, 51, 51, 51, 44, 44],
[1277, 1277, 1277, 1277, 1277, 1277, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1332, 1332, 1332, 1332, 1332, 1332, 1332, 1332, 1332, 1332, 1332, 1332, 1332, 1332, 1282, 1282, 1286, 1286, 1286, 1330, 1330]
];
cc = [
[1545, 1545, 1545, 1545, 1545, 1545, 1640, 1640, 1640, 1640, 1640, 1640, 1640, 1640, 1640, 1640, 1784, 1784, 1784, 1784, 1784, 1784, 1784, 1784, 1784, 1784, 1784, 1784, 1784, 1784, 842, 749, 1311, 1311, 1311, 1027, 705],
[4638, 4638, 4638, 4638, 4638, 4638, 4713, 4713, 4713, 4713, 4713, 4713, 4713, 4713, 4713, 4713, 4857, 4857, 4857, 4857, 4857, 4857, 4857, 4857, 4857, 4857, 4857, 4857, 4857, 4857, 3917, 3824, 4386, 4386, 4386, 4203, 3881]
];
s = [480, 499, 518, 597, 616, 635, 630, 610, 590, 570, 550, 510, 490, 470, 450, 530, 692, 872, 788, 764, 740, 716, 668, 548, 620, 596, 572, 524, 500, 644, 480, 620, 480, 513, 546, 660, 680];
cfr = [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4];
codLoadingPlants = [166020, 100020];
codOrders = [41941, 41941, 41941, 41941, 41941, 41941, 41986, 41986, 41986, 41986, 41986, 41986, 41986, 41986, 41986, 41986, 41987, 41987, 41987, 41987, 41987, 41987, 41987, 41987, 41987, 41987, 41987, 41987, 41987, 41987, 41988, 41988, 41990, 41990, 41990, 42004, 42004];
codDeliveries = [121025, 121026, 121027, 121028, 121029, 121235, 121160, 121159, 121158, 121157, 121156, 121154, 121153, 121152, 121151, 121155, 121170, 121239, 121238, 121237, 121236, 121228, 121169, 121164, 121167, 121166, 121165, 121163, 121162, 121168, 121171, 121172, 121177, 121178, 121179, 121226, 121227];
c = [
[
[
[1545.825, 3091.65, 3091.65, 3091.65, 3091.65, 3091.65, 3185.965, 3185.965, 3185.965, 3185.965, 3185.965, 3185.965, 3185.965, 3185.965, 3185.965, 3185.965, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 2388.7200000000003, 2295.63, 2857.4750000000004, 2857.4750000000004, 2857.4750000000004, 2573.005, 2251.145],
[4637.475, 3091.65, 4637.475, 4637.475, 4637.475, 4637.475, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 3934.545, 3841.455, 4403.3, 4403.3, 4403.3, 4118.83, 3796.9700000000003],
[4637.475, 4637.475, 3091.65, 4637.475, 4637.475, 4637.475, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 3934.545, 3841.455, 4403.3, 4403.3, 4403.3, 4118.83, 3796.9700000000003],
[4637.475, 4637.475, 4637.475, 3091.65, 4637.475, 4637.475, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 3934.545, 3841.455, 4403.3, 4403.3, 4403.3, 4118.83, 3796.9700000000003],
[4637.475, 4637.475, 4637.475, 4637.475, 3091.65, 4637.475, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 3934.545, 3841.455, 4403.3, 4403.3, 4403.3, 4118.83, 3796.9700000000003],
[4637.475, 4637.475, 4637.475, 4637.475, 4637.475, 3091.65, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 3934.545, 3841.455, 4403.3, 4403.3, 4403.3, 4118.83, 3796.9700000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 3185.965, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 3185.965, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 3185.965, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 3185.965, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 3185.965, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 3185.965, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 3185.965, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 3185.965, 4826.1050000000005, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 3185.965, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 3185.965, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 5114.375, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
