nV = 2;
nC = 4;
c = [
[1E+08, 135.3, 171.1, 162.7, 100.4, 0],
[135.3, 1E+08, 171.7, 171.4, 153.7, 135.3],
[171.1, 171.7, 1E+08, 190.6, 121.6, 171.1],
[162.7, 171.4, 190.6, 1E+08, 194.6, 162.7],
[100.4, 153.7, 121.6, 194.6, 1E+08, 100.4],
[0, 135.3, 171.1, 162.7, 100.4, 1E+08]
];
t = [
[1E+08, 40.1, 38.7, 34.8, 43, 0],
[40.1, 1E+08, 21.6, 40.8, 39.8, 40.1],
[38.7, 21.6, 1E+08, 53, 47.8, 38.7],
[34.8, 40.8, 53, 1E+08, 39.7, 34.8],
[43, 39.8, 47.8, 39.7, 1E+08, 43],
[0, 40.1, 38.7, 34.8, 43, 1E+08]
];
q = 10;
d = [0, 1.9, 1.7, 2, 1.4, 0];
a = [0, 555.6, 1008.8, 975.2, 1058.8, 0];
b = [1440, 570.6, 1023.8, 990.2, 1073.8, 1455];
M = 2000;
