nV = 1;
nC = 5;
c = [
[1E+08, 149.6, 170.9, 122.2, 143.2, 176.9, 0],
[149.6, 1E+08, 166.6, 198.3, 113.1, 122.8, 149.6],
[170.9, 166.6, 1E+08, 123.6, 116.7, 118.5, 170.9],
[122.2, 198.3, 123.6, 1E+08, 106.6, 162.7, 122.2],
[143.2, 113.1, 116.7, 106.6, 1E+08, 198.9, 143.2],
[176.9, 122.8, 118.5, 162.7, 198.9, 1E+08, 176.9],
[0, 149.6, 170.9, 122.2, 143.2, 176.9, 1E+08]
];
t = [
[1E+08, 40, 40.5, 20.1, 32, 41, 0],
[40, 1E+08, 26.2, 45.6, 41.9, 50.7, 40],
[40.5, 26.2, 1E+08, 36.7, 51.4, 22.8, 40.5],
[20.1, 45.6, 36.7, 1E+08, 22.3, 58.2, 20.1],
[32, 41.9, 51.4, 22.3, 1E+08, 39.8, 32],
[41, 50.7, 22.8, 58.2, 39.8, 1E+08, 41],
[0, 40, 40.5, 20.1, 32, 41, 1E+08]
];
q = 10;
tc = [30, 30, 30, 30, 30];
d = [0, 1.9, 1.8, 1.2, 2, 1.9, 0];
p = [0, 596.7, 567.1, 571.2, 555.2, 546.7, 0];
a = [0, 933.9, 422.1, 674.8, 995.8, 621, 0];
b = [1455, 948.9, 437.1, 689.8, 1010.8, 636, 1455];
M = 2000;
